index,bearing,latitude_geo,longitude_geo,speed_over_ground,desired_operating_speed_engine,engine_speed,fuel_delivery_pressure_sensor,fuel_pressure,fuel_rate,level_engine_coolant,load,engine_oil_filter_diff_pressure_j1939,oil_pressure,position_accelerator_pedal_1,position_engine_throttle,potential_battery_power_input_1,pressure_diff_fuel_filter,pressure_engine_coolant ,pressure_engine_crankcase,pressure_engine_inlet_air,pressure_engine_intake_manifold_1,rated_speed_engine,running_hours,temperature_ambient_air,temperature_engine_air_inlet,temperature_engine_coolant,temperature_engine_fuel_1,temperature_engine_intake_manifold_1,left_manifold_exh_gas_temperature,right_manifold_exh_gas_temperature,total_average_fuel_rate_engine,total_fuel_used_engine,transmission_1_oil_pressure,transmission_oil_temperature_1,trip_fuel_engine,acceleration_x,acceleration_y,acceleration_z,operation,year,month,day,hour,minute,second
22,98.6753,50.41748,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4,0,0,0,0,0,412.35,0,0,65.7,0,66,119.313,94.813,84.45,34824,16,26,34824,0.0225416,-0.11644416,0.00019152,0,2021,6,1,0,5,15
23,98.6753,50.41748,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4,0,0,0,0,0,412.35,0,0,65.7,0,66,119.313,94.813,84.45,34824,16,26,34824,0.0225416,-0.11644416,0.00019152,0,2021,6,1,0,5,16
24,98.6753,50.41748,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4,0,0,0,0,0,412.35,0,0,65.7,0,66,119.313,94.813,84.45,34824,16,26,34824,0.0225416,-0.11644416,0.00019152,0,2021,6,1,0,5,17
25,98.6753,50.41748,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,4,0,0,0,0,0,412.35,0,0,65.7,0,66,119.313,94.813,84.45,34824,16,26,34824,0.01162496,-0.1158696,0.01398096,0,2021,6,1,0,5,21
26,98.6753,50.41748,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2.909091,0,0,0,0,0,412.35,0,0,65.09091,0,66,119.313,94.813,84.45,34824,13.090909,26.181818,34824,0.01162496,-0.1158696,0.01398096,0,2021,6,1,0,5,29
27,98.6753,50.41748,7.560384,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2.909091,0,0,0,0,0,412.35,0,0,65.09091,0,66,119.313,94.813,84.45,34824,13.090909,26.181818,34824,0.01219952,-0.110124,0.01761984,0,2021,6,1,0,5,33
28,98.6753,50.41749,7.560391,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2.909091,0,0,0,0,0,412.35,0,0,65.09091,0,66,119.313,94.813,84.45,34824,13.090909,26.181818,34824,0.01219952,-0.110124,0.01761984,0,2021,6,1,0,5,44
29,98.6753,50.41749,7.560391,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2.909091,0,0,0,0,0,412.35,0,0,65.09091,0,66,119.313,94.813,84.45,34824,13.090909,26.181818,34824,0.01219952,-0.110124,0.01761984,0,2021,6,1,0,5,45
30,98.6753,50.41749,7.560391,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2.909091,0,0,0,0,0,412.35,0,0,65.09091,0,66,119.313,94.094,84.45,34824,13.090909,26.181818,34824,0.01660448,-0.1034208,0.01359792,0,2021,6,1,0,5,46
31,98.6753,50.41749,7.560391,0,650,0,0,0,0,0,0,0,0,0,0,25.65,2.909091,0,0,0,0,0,412.35,0,0,65.09091,0,66,119.313,94.094,84.45,34824,13.090909,26.181818,34824,0.01660448,-0.1034208,0.01359792,0,2021,6,1,0,5,47
